
Interface Name,Administrative State,Link State,Protocol State,IOD,IP Disabled,Prefix,VRF Name Out
Lo100,up,up,up,70,FALSE,192.168.100.100,default
Eth1/1,up,up,up,5,FALSE,192.168.255.138,default
