
Name,Description,Product ID,Vendor ID,Serial Number
"Chassis","Nexus9000 C9300v Chassis",N9K-C9300v,None,9T1058JC0XN
"Slot 1","Nexus 9000v 64 port Ethernet Module",N9K-X9364v,None,99HA8L4OG57
"Slot 27","Supervisor Module",N9K-vSUP,None,9VU2C3F8A0R
